suara_non_dapil_sah,alasan_suara_non_dapil_tidak_sah,suara_dapil_sah,alasan_suara_dapil_tidak_sah,waktu,dalam_waktu_pemungutan,nim_email_hashed,jenis_email,input_dapil,dapil_tercatat,terdaftar,dapil_benar,dapil_sesuai,pilihan_gubernur,pilihan_dpm,pilihan_himatro,pilihan_hmti
true,,true,,2021-01-04 09:13:26 +0700 +07,true,78ea23edaa5a936338803bc88c93ffda,student,TEKNIK INDUSTRI,TEKNIK INDUSTRI,true,true,true,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,11. YUSUF AL FARIZI,,1. M. FAHRI SYAIFARRAHMAN / MUHAMMAD MUFID APRIANTO
true,,true,,2021-01-04 09:13:28 +0700 +07,true,3e3a5795ce6da0f0d1b4725b999ca375,student,TEKNIK INDUSTRI,TEKNIK INDUSTRI,true,true,true,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,07. EVIANA RAMADHANI SUGIARTO,,1. M. FAHRI SYAIFARRAHMAN / MUHAMMAD MUFID APRIANTO
true,,true,,2021-01-04 09:13:33 +0700 +07,true,d456890857f9c8d82eea29f2ac759f47,student,SISTEM INFORMASI,SISTEM INFORMASI,true,true,,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,06. ARGA KIEN DWIJANA,,
true,,true,,2021-01-04 09:13:34 +0700 +07,true,fa9205dbb59edf8b8a6af0904d5e8ead,student,TEKNIK ELEKTRO,TEKNIK ELEKTRO,true,true,true,2. MOH. IRSAD / FIKRI ROLLY GUNAWAN,01. ROBIATUL ADAWIYAH,1. FAURIZAL ABID ARDITYA / AHMAD FAUZAN,
true,,true,,2021-01-04 09:13:54 +0700 +07,true,694e05471d4c16cd442799fbcb624a01,student,SISTEM INFORMASI,SISTEM INFORMASI,true,true,,2. MOH. IRSAD / FIKRI ROLLY GUNAWAN,15. MOH. TAMIM ANSORI,,
true,,true,,2021-01-04 09:13:54 +0700 +07,true,cb87fa601073ea03ac57ae45d2d10e0f,student,SISTEM INFORMASI,SISTEM INFORMASI,true,true,,2. MOH. IRSAD / FIKRI ROLLY GUNAWAN,03. RIPANDI,,
true,,true,,2021-01-04 09:13:57 +0700 +07,true,0415127fd9c7011a22856e778220b89c,student,TEKNIK INDUSTRI,TEKNIK INDUSTRI,true,true,true,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,04. KHARISMA HILMY DWI IFANGGA,,2. NICKYO PUTRA ARBAATA / FATHUR RAHMAN IRVANSYAH
true,,true,,2021-01-04 09:14:19 +0700 +07,true,8c9899c78ddb5d47b622d259b7cd6b31,student,TEKNIK INFORMATIKA,TEKNIK INFORMATIKA,true,true,,2. MOH. IRSAD / FIKRI ROLLY GUNAWAN,07. EVIANA RAMADHANI SUGIARTO,,
true,,true,,2021-01-04 09:14:20 +0700 +07,true,e086ec41d3a9d013c656f3447698c244,student,TEKNIK INFORMATIKA,TEKNIK INFORMATIKA,true,true,,2. MOH. IRSAD / FIKRI ROLLY GUNAWAN,04. KHARISMA HILMY DWI IFANGGA,,
true,,true,,2021-01-04 09:14:21 +0700 +07,true,54ca5850886387fb06746e4a4cb91e95,student,SISTEM INFORMASI,SISTEM INFORMASI,true,true,,2. MOH. IRSAD / FIKRI ROLLY GUNAWAN,15. MOH. TAMIM ANSORI,,
true,,true,,2021-01-04 09:14:21 +0700 +07,true,d453c60f1d19787a856d19427d6ff207,student,TEKNIK ELEKTRO,TEKNIK ELEKTRO,true,true,true,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,12. MOCHAMAD DIO,2. MOCH. IFAN JULIYANTO / ERIK DWI CAHYONO,
true,,true,,2021-01-04 09:14:22 +0700 +07,true,9e33322e12916b9033a30de387b81879,student,SISTEM INFORMASI,SISTEM INFORMASI,true,true,,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,02. ROMY YANSYAH,,
true,,true,,2021-01-04 09:14:25 +0700 +07,true,f6a30d00bb07408600914fa4808a1924,student,SISTEM INFORMASI,SISTEM INFORMASI,true,true,,2. MOH. IRSAD / FIKRI ROLLY GUNAWAN,08. IRFAN ZUHDA JOEHDANTO ASLAM,,
true,,true,,2021-01-04 09:14:30 +0700 +07,true,67493d04c7af9f92746845f24f74fff8,student,TEKNIK MESIN,TEKNIK MESIN,true,true,,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,12. MOCHAMAD DIO,,
true,,true,,2021-01-04 09:14:37 +0700 +07,true,831b500eca0f8367dea1bae5b6c95693,student,SISTEM INFORMASI,SISTEM INFORMASI,true,true,,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,13. DANY WIDIYANTO,,
true,,true,,2021-01-04 09:14:50 +0700 +07,true,fc19dcbac08d58522a5c49a035c7c5dd,student,TEKNIK MESIN,TEKNIK MESIN,true,true,,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,07. EVIANA RAMADHANI SUGIARTO,,
true,,true,,2021-01-04 09:14:51 +0700 +07,true,13d1a8e934d1aa3f49dcedf261e715f2,student,TEKNIK INDUSTRI,TEKNIK INDUSTRI,true,true,true,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,04. KHARISMA HILMY DWI IFANGGA,,1. M. FAHRI SYAIFARRAHMAN / MUHAMMAD MUFID APRIANTO
true,,true,,2021-01-04 09:14:54 +0700 +07,true,de35c3e19e345ea162b95564d87a0917,student,TEKNIK INDUSTRI,TEKNIK INDUSTRI,true,true,true,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,11. YUSUF AL FARIZI,,1. M. FAHRI SYAIFARRAHMAN / MUHAMMAD MUFID APRIANTO
true,,true,,2021-01-04 09:15:02 +0700 +07,true,acfe1231917c057739662cc212c296c9,student,TEKNIK INFORMATIKA,TEKNIK INFORMATIKA,true,true,,2. MOH. IRSAD / FIKRI ROLLY GUNAWAN,14. ELVA DEWI LESTARI,,
true,,true,,2021-01-04 09:15:04 +0700 +07,true,beab51af2645982f5ad4b603c7e78a32,student,TEKNIK ELEKTRO,TEKNIK ELEKTRO,true,true,true,2. MOH. IRSAD / FIKRI ROLLY GUNAWAN,01. ROBIATUL ADAWIYAH,1. FAURIZAL ABID ARDITYA / AHMAD FAUZAN,
true,,true,,2021-01-04 09:15:08 +0700 +07,true,3012e183d25ade7b3f1904cdf0fabccf,student,TEKNIK INDUSTRI,TEKNIK INDUSTRI,true,true,true,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,11. YUSUF AL FARIZI,,1. M. FAHRI SYAIFARRAHMAN / MUHAMMAD MUFID APRIANTO
true,,true,,2021-01-04 09:15:11 +0700 +07,true,2e58383a5efa5755ec9f077887d4494f,student,TEKNIK INDUSTRI,TEKNIK INDUSTRI,true,true,true,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,04. KHARISMA HILMY DWI IFANGGA,,2. NICKYO PUTRA ARBAATA / FATHUR RAHMAN IRVANSYAH
true,,true,,2021-01-04 09:15:16 +0700 +07,true,be7899a3a2a20b49ac3ab6e604d5e3ed,student,SISTEM INFORMASI,SISTEM INFORMASI,true,true,,2. MOH. IRSAD / FIKRI ROLLY GUNAWAN,08. IRFAN ZUHDA JOEHDANTO ASLAM,,
true,,true,,2021-01-04 09:15:16 +0700 +07,true,9427a19442857d4720c4ad733b7fc47b,student,TEKNIK INDUSTRI,TEKNIK INDUSTRI,true,true,true,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,02. ROMY YANSYAH,,1. M. FAHRI SYAIFARRAHMAN / MUHAMMAD MUFID APRIANTO
true,,true,,2021-01-04 09:15:21 +0700 +07,true,61e25ba20b02c1578b94a5ae0bc9f974,student,SISTEM INFORMASI,SISTEM INFORMASI,true,true,,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,10. MOHAMMAD DAMANHURI,,
